Total cuatrimestres plan,Segundos tiempo de generación,Total Materias disponibles,Total Cursos disponibles,Max cantidad materias por cuatrimestre,Algoritmo
11,1.30,51,140,4,GREEDY
12,0.13,51,140,5,GREEDY
17,44.23,51,140,2,GREEDY
12,128.26,51,140,3,GREEDY
16,411.14,51,140,2,PLE
9,416.49,51,140,5,PLE
12,382.95,51,140,3,PLE
9,419.83,51,140,4,PLE
8,0.17,39,77,5,GREEDY
5,0.04,35,68,5,GREEDY
9,69.85,42,84,3,GREEDY
3,0.03,25,40,5,GREEDY
10,45.07,45,140,3,GREEDY
7,6.29,30,54,2,GREEDY
7,50.93,35,68,3,GREEDY
5,0.90,35,68,4,GREEDY
13,30.12,42,84,2,GREEDY
2,2.16,21,36,3,GREEDY
7,2.15,39,77,4,GREEDY
10,14.66,35,68,2,GREEDY
3,5.01,25,40,3,GREEDY
9,0.11,42,84,5,GREEDY
2,0.03,21,36,4,GREEDY
5,16.07,30,54,3,GREEDY
4,2.14,25,40,2,GREEDY
15,36.57,45,140,2,GREEDY
10,0.12,45,140,5,GREEDY
1,0.01,21,36,5,GREEDY
3,0.51,25,40,4,GREEDY
12,25.19,39,77,2,GREEDY
8,67.70,39,77,3,GREEDY
5,0.87,30,54,4,GREEDY
4,0.02,30,54,5,GREEDY
2,0.70,21,36,2,GREEDY
9,1.31,45,140,4,GREEDY
8,1.96,42,84,4,GREEDY
3,16.84,25,40,3,PLE
2,13.67,25,40,5,PLE
5,52.92,39,77,5,PLE
11,114.90,39,77,2,PLE
8,93.35,39,77,3,PLE
7,2399.97,42,84,4,PLE
4,24.66,30,54,4,PLE
9,44.96,35,68,2,PLE
6,295.59,42,84,5,PLE
7,321.93,45,140,4,PLE
9,123.26,42,84,3,PLE
5,45.15,35,68,4,PLE
4,45.95,35,68,5,PLE
3,24.42,30,54,5,PLE
7,507.92,45,140,5,PLE
1,13.15,21,36,5,PLE
4,17.23,25,40,2,PLE
3,14.68,25,40,4,PLE
7,27.40,30,54,2,PLE
14,382.52,45,140,2,PLE
1,12.73,21,36,4,PLE
13,105.68,42,84,2,PLE
6,79.89,39,77,4,PLE
5,25.26,30,54,3,PLE
2,12.89,21,36,3,PLE
6,46.48,35,68,3,PLE
2,11.99,21,36,2,PLE
10,525.97,45,140,3,PLE
